,Unnamed: 0,Unnamed: 0.1,image_id,label,source,confidence,predict,fold
0,0,0.0,1000015157.jpg,0,2020,0.4012185335159302,1,1.0
1,1,1.0,1000201771.jpg,3,2020,1.1301791667938232,3,1.0
2,2,2.0,100042118.jpg,1,2020,1.127041220664978,4,1.0
3,3,3.0,1000723321.jpg,1,2020,2.3456740379333496,1,1.0
4,4,4.0,1000812911.jpg,3,2020,1.4994874000549316,3,1.0
5,5,5.0,1000837476.jpg,3,2020,1.3870036602020264,3,1.0
6,6,6.0,1000910826.jpg,2,2020,1.956689953804016,2,1.0
7,7,7.0,1001320321.jpg,0,2020,0.7772805094718933,1,1.0
8,8,8.0,1001723730.jpg,0,2020,1.7522567510604858,0,1.0
9,9,9.0,1001742395.jpg,3,2020,1.29376220703125,3,1.0
10,10,10.0,1001749118.jpg,3,2020,1.4000108242034912,3,1.0
11,11,11.0,100204014.jpg,3,2020,1.0955822467803955,3,1.0
12,12,12.0,1002088496.jpg,1,2020,5.592173099517822,1,1.0
13,13,13.0,1002255315.jpg,3,2020,1.283344268798828,3,1.0
14,14,14.0,1002394761.jpg,3,2020,1.480900526046753,3,1.0
15,15,15.0,1003218714.jpg,2,2020,1.4942132234573364,2,1.0
16,16,16.0,1003298598.jpg,3,2020,0.7686029076576233,3,1.0
17,17,17.0,1003442061.jpg,4,2020,1.399954080581665,4,1.0
18,18,18.0,1003888281.jpg,0,2020,0.7883371114730835,4,1.0
19,19,19.0,1003987001.jpg,3,2020,1.4220898151397705,3,1.0
20,20,20.0,1004105566.jpg,3,2020,1.244511365890503,3,1.0
21,21,21.0,1004163647.jpg,3,2020,1.4152686595916748,3,1.0
22,22,22.0,1004389140.jpg,1,2020,3.232020616531372,1,1.0
23,23,23.0,1004672608.jpg,3,2020,0.9161577820777892,3,1.0
24,24,24.0,100472565.jpg,2,2020,2.72402024269104,2,1.0
25,25,25.0,1004826518.jpg,2,2020,0.7796396017074585,2,1.0
26,26,26.0,1004881261.jpg,3,2020,1.1539597511291504,3,1.0
27,27,27.0,1005138819.jpg,3,2020,0.8305875658988953,3,1.0
28,28,28.0,1005200906.jpg,2,2020,0.8678694367408752,4,1.0
29,29,29.0,100533489.jpg,2,2020,-0.0320448726415634,2,1.0
30,30,30.0,100560400.jpg,4,2020,0.2644107639789581,4,1.0
31,31,31.0,1005695738.jpg,3,2020,1.242833137512207,3,1.0
32,32,32.0,1005739807.jpg,3,2020,1.294903039932251,3,1.0
33,33,33.0,100609661.jpg,3,2020,1.1453015804290771,3,1.0
34,34,34.0,1007196516.jpg,3,2020,0.7177180051803589,3,1.0
35,35,35.0,1007246985.jpg,3,2020,1.031418800354004,3,1.0
36,36,36.0,100731318.jpg,3,2020,1.2939550876617432,3,1.0
37,37,37.0,1007533812.jpg,3,2020,1.0954912900924685,3,1.0
38,38,38.0,1007700625.jpg,3,2020,1.1744170188903809,3,1.0
39,39,39.0,1007891044.jpg,3,2020,1.2092490196228027,3,1.0
40,40,40.0,1008126487.jpg,3,2020,1.342071771621704,3,1.0
41,41,41.0,1008142548.jpg,1,2020,0.7802738547325134,2,1.0
42,42,42.0,1008244905.jpg,1,2020,2.176312208175659,1,1.0
43,43,43.0,1008284502.jpg,3,2020,1.2097265720367432,3,1.0
44,44,44.0,1008532311.jpg,3,2020,0.8821739554405212,3,1.0
45,45,45.0,1009037539.jpg,3,2020,1.2602567672729492,3,1.0
46,46,46.0,1009049118.jpg,3,2020,1.1792702674865725,3,1.0
47,47,47.0,1009126931.jpg,0,2020,0.9606130123138428,0,1.0
48,48,48.0,1009148537.jpg,1,2020,5.976459980010986,1,1.0
49,49,49.0,1009268848.jpg,3,2020,1.07591712474823,3,1.0
50,50,50.0,1009322597.jpg,3,2020,0.5577853918075562,3,1.0
51,51,51.0,1009361983.jpg,3,2020,0.7219263911247253,3,1.0
52,52,52.0,1009431532.jpg,2,2020,2.9640512466430664,2,1.0
53,53,53.0,1009441020.jpg,3,2020,1.2405200004577637,3,1.0
54,54,54.0,1009462599.jpg,3,2020,1.2047653198242188,3,1.0
55,55,55.0,1009489704.jpg,3,2020,1.2510147094726562,3,1.0
56,56,56.0,1009495847.jpg,3,2020,1.2001488208770752,3,1.0
57,57,57.0,1009704586.jpg,3,2020,1.157851219177246,3,1.0
58,58,58.0,1009749557.jpg,2,2020,2.175806760787964,2,1.0
59,59,59.0,1009845426.jpg,3,2020,1.436828374862671,3,1.0
60,60,60.0,1010470173.jpg,1,2020,1.104678750038147,1,1.0
61,61,61.0,1010648150.jpg,3,2020,0.7115256190299988,3,1.0
62,62,62.0,1010806468.jpg,4,2020,0.0957350730895996,3,1.0
63,63,63.0,1010855776.jpg,3,2020,1.3837358951568604,3,1.0
64,64,64.0,1010899191.jpg,3,2020,1.2167689800262451,3,1.0
65,65,65.0,1011139244.jpg,3,2020,1.3221282958984375,3,1.0
66,66,66.0,1011422445.jpg,3,2020,0.4100333154201507,2,1.0
67,67,67.0,1011571614.jpg,4,2020,0.2541172802448272,1,1.0
68,68,68.0,1011602291.jpg,2,2020,2.2984752655029297,2,1.0
69,69,69.0,1011858443.jpg,3,2020,0.1170934587717056,0,1.0
70,70,70.0,1011909285.jpg,4,2020,1.876801490783692,4,1.0
71,71,71.0,1012257169.jpg,4,2020,1.9211738109588623,4,1.0
72,72,72.0,1012305013.jpg,1,2020,0.8547244071960449,0,1.0
73,73,73.0,1012426959.jpg,0,2020,1.1434608697891235,0,1.0
74,74,74.0,101253257.jpg,1,2020,0.7068306803703308,2,1.0
75,75,75.0,1012599090.jpg,3,2020,1.0264582633972168,3,1.0
76,76,76.0,1012623980.jpg,1,2020,0.8092366456985474,1,1.0
77,77,77.0,1012755275.jpg,3,2020,1.3065564632415771,3,1.0
78,78,78.0,1012804587.jpg,1,2020,3.988500833511353,1,1.0
79,79,79.0,1012902365.jpg,0,2020,1.1559746265411377,0,1.0
80,80,80.0,1013678821.jpg,3,2020,1.2708015441894531,3,1.0
81,81,81.0,1013734375.jpg,3,2020,1.162017822265625,3,1.0
82,82,82.0,1014087087.jpg,3,2020,1.2340900897979736,3,1.0
83,83,83.0,1014332426.jpg,4,2020,0.5643044114112854,4,1.0
84,84,84.0,1014359226.jpg,2,2020,2.621121644973755,2,1.0
85,85,85.0,1014365825.jpg,3,2020,1.0664176940917969,3,1.0
86,86,86.0,1014433832.jpg,3,2020,1.102058172225952,3,1.0
87,87,87.0,1014492188.jpg,1,2020,2.196210622787476,1,1.0
88,88,88.0,1014810796.jpg,3,2020,0.9900598526000975,3,1.0
89,89,89.0,1014888611.jpg,3,2020,1.0725231170654297,3,1.0
90,90,90.0,1015034348.jpg,3,2020,1.3015739917755127,3,1.0
91,91,91.0,1015143489.jpg,3,2020,0.6337835192680359,3,1.0
92,92,92.0,1015749198.jpg,2,2020,1.0126266479492188,2,1.0
93,93,93.0,1016027375.jpg,1,2020,0.596168041229248,4,1.0
94,94,94.0,1016258639.jpg,3,2020,0.983755111694336,3,1.0
95,95,95.0,1016334938.jpg,3,2020,0.825876772403717,3,1.0
96,96,96.0,1016415263.jpg,1,2020,3.446072816848755,1,1.0
97,97,97.0,10169000.jpg,1,2020,0.5664749145507812,1,1.0
98,98,98.0,1016955090.jpg,2,2020,2.966796636581421,2,1.0
99,99,99.0,1017006970.jpg,3,2020,0.8838526606559753,3,1.0
100,100,100.0,101712540.jpg,2,2020,2.8905091285705566,2,1.0
101,101,101.0,1017415426.jpg,1,2020,0.566884458065033,1,1.0
102,102,102.0,1017667711.jpg,2,2020,1.4765944480895996,2,1.0
103,103,103.0,1017670009.jpg,2,2020,2.6109061241149902,2,1.0
